A,0.9925702214241028,"(449, 248, 639, 416)"
4,0.5624646544456482,"(525, 242, 639, 417)"
BZ58MDY,0.9628214836120605,"(372, 158, 500, 261)"
BZ58MDY,0.9880738854408264,"(0, 64, 580, 416)"
4,0.6102254986763,"(0, 64, 580, 416)"
089Z8,0.5785759687423706,"(375, 159, 505, 262)"
BZ58MDY,0.9002519249916077,"(354, 171, 484, 276)"
BZ58MDY,0.944976270198822,"(354, 171, 483, 278)"
CHTLRTENT,0.5355294346809387,"(0, 64, 595, 417)"
JARM,0.6106990575790405,"(0, 64, 595, 417)"
AOW89-Z8,0.6210403442382812,"(0, 64, 595, 417)"
CAZZRO,0.654039204120636,"(0, 64, 595, 417)"
BZ58MDY,0.9595098495483398,"(1, 59, 537, 424)"
CARZ/,0.8233029246330261,"(1, 59, 537, 424)"
MWMCOM,0.6924743056297302,"(1, 60, 603, 424)"
BZ58MDY,0.925606906414032,"(353, 178, 483, 282)"
BZ58MDY,0.8715610504150391,"(291, 217, 422, 323)"
BZ58MDY,0.9444459676742554,"(1, 60, 482, 419)"
BZ58MDY,0.8756341338157654,"(284, 185, 416, 292)"
BZ58MDY,0.9544958472251892,"(3, 61, 474, 419)"
B253B0K,0.9440174102783203,"(12, 61, 481, 267)"
B253B0K,0.9320693612098694,"(32, 61, 494, 276)"
B253B0K,0.9456153512001038,"(29, 59, 487, 270)"
B253B0K,0.9362073540687561,"(15, 59, 480, 271)"
B253B0K,0.9478119611740112,"(24, 60, 494, 336)"
B253B0K,0.9435213804244995,"(52, 60, 530, 336)"
B253BOK,0.9262409806251526,"(56, 61, 541, 330)"
B253B0K,0.9396118521690369,"(29, 61, 514, 324)"
B253BOK,0.9231654405593872,"(22, 61, 512, 321)"
B253B0K,0.9428557753562927,"(21, 61, 506, 324)"
B253B0K,0.9217135310173035,"(17, 60, 496, 331)"
B253B0K,0.9268931150436401,"(17, 60, 494, 336)"
VA,0.5523018836975098,"(7, 61, 491, 325)"
B253BOK,0.9246469140052795,"(7, 61, 491, 325)"
B253B0K,0.9507349729537964,"(0, 61, 470, 329)"
B253B0K,0.91487056016922,"(59, 87, 515, 359)"
B253B0K,0.9375961422920227,"(82, 72, 539, 350)"
CHIR!,0.7922948598861694,"(380, 167, 638, 356)"
ONLINE?,0.9558582305908203,"(380, 167, 638, 356)"
CHIR,0.8193738460540771,"(383, 169, 638, 360)"
ONLINE?,0.9615731239318848,"(383, 169, 638, 360)"
/CARESTAIN,0.9130210876464844,"(383, 169, 638, 360)"
UMRAMA,0.8640400767326355,"(383, 169, 638, 360)"
B160B0K,0.8909133076667786,"(118, 218, 506, 417)"
B160B0K,0.9417148232460022,"(124, 215, 513, 417)"
B160B0K,0.9525883793830872,"(128, 218, 518, 417)"
B160B0K,0.9359673857688904,"(134, 214, 523, 417)"
B160B0K,0.8771594166755676,"(134, 207, 520, 416)"
B160B0K,0.9403184056282043,"(141, 208, 531, 417)"
B160B0K,0.944546639919281,"(126, 198, 523, 416)"
B160B0K,0.9259089827537537,"(126, 194, 519, 416)"
B160B0K,0.9429558515548706,"(150, 188, 545, 416)"
B160B0K,0.922866702079773,"(125, 60, 512, 301)"
AUTOBOCARENT-A-CAR,0.9684826731681824,"(2, 61, 625, 411)"
MASINIDEBUNVENIT.MICROBUZE.MASINIMINI.SUV.,0.9717057347297668,"(2, 61, 625, 411)"
DUBE.EXPERIENTEAUTOPLACUTESICONFORTABILE.,0.9624819159507751,"(2, 61, 625, 411)"
WWW.AUTOBOCA.RO,0.9911798238754272,"(2, 61, 625, 411)"
ORICANDAVETIDORITISANECONTACTATIAGENTIAUTOBOCASUNTDISPONIBILILANUMARULDETELEFONO733508484SAULAA,0.948183000087738,"(2, 61, 625, 411)"
DEEMAILREZERVARI@AUTOBOCA.RO!,0.9383600950241089,"(2, 61, 625, 411)"
VARECOMANDAMSAFACETIACESTLUCRUFARARETINERI.ABIAASTEPTAMSADISCUTAMCUVOI.ASAOSAAFLATIMAIMULTELUCRU,0.9730973839759827,"(2, 61, 625, 411)"
SPRECUMDECURGEPROCESULDEINCHIRIERE.,0.9602840542793274,"(2, 61, 625, 411)"
CETREBUIESASTITIPENTRUAINCHIRIAONLINEMASINADORITA?,0.965759813785553,"(2, 61, 625, 411)"
